STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
73010,735430,Leven,Newby Bridge,336600,486300,SD365998,247,73,EA-CL,01/01/1939,,37.3,CC,,140,,NO,YES,YES,SPE,YES,YES,NO,1939,2014,100,14.065,0.108,216,1.332,5.437,9.99,31.7,0.49,2167,2215,0.71,,0.44,0.694,0,0,100,0,2.634311,15.249864,37.3,49.4,175.1,498.9,893.2,19.65634,4.322911,62.88555,4.625568,0.006,218.9,72.433
73011,730404,Mint,Mint Bridge,352400,494500,SD524119,65.8,73,EA-CL,01/01/1970,,50.3,FV,64,,15.9,NO,YES,YES,N,YES,YES,NO,1970,2014,94.53,2.516,0.055,59,0.204,0.716,1.352,6.137,0.37,1604,1683,0.71,,0.513,0.993,0,12.041037,87.958963,0,1.725966,53.490919,50.3,132.5,209.3,379.6,551.9,6.452724,2.149632,88.33321,2.061976,0.001,138,54.523
73012,730507,Kent,Victoria Bridge,351700,493100,SD517931,183,73,EA-CL,29/01/1974,,,VA,,,,NO,NO,YES,,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.434
73013,735022,Rothay,Miller Bridge House,337100,504200,NY371250,64,73,EA-CL,01/01/1966,,40.8,VA,80,,,NO,YES,NO,N,NO,NO,NO,1976,2014,90.14,4.263,0.085,139,0.352,1.149,2.184,10.16,0.31,2387,2443,0.71,,0.41,0.866,0,0,100,0,1.76226,14.565783,40.8,87.3,317.9,580.9,871,10.469552,2.836642,77.621582,6.739118,0.004,306,
73014,735123,Brathay,Jeffy Knotts,336000,503400,NY359650,57.4,73,EA-CL,01/01/1970,,41.9,VA,48,,,NO,YES,YES,N,NO,NO,YES,1976,2014,90.3,4.569,0.005,209,0.35,1.14,2.36,11.62,0.28,2754,2861,0.71,,0.435,0.907,0,0,100,0,4.787495,11.328785,41.9,89.1,232.7,576.4,893.2,10.456336,2.058572,79.84279,5.495429,0,299.7,86.154
73015,733020,Keer,High Keer Weir,352300,471900,SD523207,48,73,EA-CL,01/01/1971,,7.7,FV,,,,NO,YES,YES,N,YES,YES,NO,1976,2014,68.61,0.645,0.022,19.5,0.063,0.163,0.293,1.39,0.37,1160,1204,0.6,,0.49,0.976,0,100,0,8.224746,0,76.926361,7.7,30,91.6,147.9,271.9,12.34301,7.43575,77.54305,0,0.003,83,12.239
73017,730120,Kent,Bowston,349900,496500,SD499359,70.61,73,EA-CL,,,,VA,,,,NO,NO,YES,,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.089
74001,740102,Duddon,Duddon Hall,319500,489600,SD195268,85.66,74,EA-CL,01/01/1968,,14.8,CB,160,105,14.5,NO,YES,YES,SP,YES,YES,NO,1968,2014,100,5.058,0.146,162,0.456,1.34,2.601,12.4,0.29,2265,2369,0.71,5,0.338,0.985,0,0,100,0,20.788485,1.892885,14.8,127.8,291,532.6,794.4,8.86234,1.68294,72.465463,15.913813,0,210.3,119.58
74002,743008,Irt,Galesyke,313600,503800,NY135580,44.2,74,EA-CL,01/01/1967,,54.2,FV,31,,14.6,NO,YES,YES,SPI,NO,YES,NO,1967,2014,98.78,3.422,0.023,47.09,0.446,1.457,2.47,7.291,0.48,2640,2727,0.71,,0.367,0.746,0,0,100,0,0,8.096777,54.2,71.2,377.8,694.8,973.1,2.761987,0.119345,84.803352,4.250963,0,384.6,21.177
74003,744111,Ehen,Bleach Green,308400,515400,NY083871,44.2,74,EA-CL,01/01/1973,,110.4,CC,,41,9.7,NO,YES,YES,SPI,NO,YES,NO,1973,2014,99.59,2.664,0.124,80.2,0.399,0.705,1.326,6.43,0.37,2542,2577,0.71,,0.417,0.74,0,0,100,3.169253,0.289442,9.949486,110.4,122.4,362.2,628.2,893.6,14.18877,0.072907,59.475058,18.02477,0,323.5,34.07
